gene_symbol	ensembl	version
ENSG00000284646	ENSG00000284646	v39
MTCYBP45	ENSG00000224338	v39
DISP3	ENSG00000204624	v39
ENSG00000285833	ENSG00000285833	v39
LINC01647	ENSG00000235643	v39
ENSG00000284708	ENSG00000284708	v39
FBXO2	ENSG00000116661	v39
FBXO44	ENSG00000132879	v39
FBXO6	ENSG00000116663	v39
MAD2L2	ENSG00000116670	v39
DRAXIN	ENSG00000162490	v39
AGTRAP	ENSG00000177674	v39
C1orf167	ENSG00000215910	v39
C1orf167-AS1	ENSG00000177553	v39
MTHFR	ENSG00000177000	v39
CLCN6	ENSG00000011021	v39
ENSG00000276470	ENSG00000276470	v39
ENSG00000278852	ENSG00000278852	v39
NPPA	ENSG00000175206	v39
ENSG00000275915	ENSG00000275915	v39
NPPB	ENSG00000120937	v39
SBF1P2	ENSG00000224904	v39
ENSG00000285646	ENSG00000285646	v39
RNU5E-1	ENSG00000199347	v39
RNU5E-4P	ENSG00000201801	v39
KIAA2013	ENSG00000116685	v39
PLOD1	ENSG00000083444	v39
ENSG00000287384	ENSG00000287384	v39
MFN2	ENSG00000116688	v39
ENSG00000270914	ENSG00000270914	v39
MIIP	ENSG00000116691	v39
Y_RNA	ENSG00000202461	v39
MIR6729	ENSG00000276869	v39
RN7SL649P	ENSG00000243539	v39
TNFRSF8	ENSG00000120949	v39
RNU6-777P	ENSG00000201135	v39
RPL23AP89	ENSG00000227875	v39
ENSG00000285604	ENSG00000285604	v39
MIR7846	ENSG00000283789	v39
TNFRSF1B	ENSG00000028137	v39
MIR4632	ENSG00000263676	v39
RPL10P17	ENSG00000225196	v39
SNORA70	ENSG00000252969	v39
VPS13D	ENSG00000048707	v39
SNORA59A	ENSG00000239149	v39
LINC02766	ENSG00000229484	v39
DHRS3	ENSG00000162496	v39
RNU6ATAC18P	ENSG00000221340	v39
MIR6730	ENSG00000276830	v39
ENSG00000288927	ENSG00000288927	v39
ENSG00000272482	ENSG00000272482	v39
AADACL4	ENSG00000204518	v39
ENSG00000226166	ENSG00000226166	v39
AADACL3	ENSG00000188984	v39
C1orf158	ENSG00000157330	v39
PRAMEF12	ENSG00000116726	v39
PRAMEF1	ENSG00000116721	v39
LINC01784	ENSG00000228338	v39
PRAMEF11	ENSG00000239810	v39
PRAMEF30P	ENSG00000231103	v39
HNRNPCL1	ENSG00000179172	v39
PRAMEF2	ENSG00000120952	v39
PRAMEF4	ENSG00000243073	v39
PRAMEF10	ENSG00000187545	v39
PRAMEF7	ENSG00000204510	v39
RNU6-1072P	ENSG00000207434	v39
PRAMEF29P	ENSG00000234064	v39
PRAMEF6	ENSG00000232423	v39
PRAMEF28P	ENSG00000274178	v39
PRAMEF27	ENSG00000274764	v39
HNRNPCL3	ENSG00000277058	v39
PRAMEF25	ENSG00000229571	v39
PRAMEF34P	ENSG00000277862	v39
PRAMEF35P	ENSG00000236179	v39
HNRNPCL2	ENSG00000275774	v39
PRAMEF36P	ENSG00000229978	v39
ENSG00000233336	ENSG00000233336	v39
PRAMEF26	ENSG00000280267	v39
HNRNPCL4	ENSG00000179412	v39
PRAMEF9	ENSG00000204505	v39
PRAMEF13	ENSG00000279169	v39
PRAMEF18	ENSG00000279804	v39
PRAMEF31P	ENSG00000250894	v39
PRAMEF5	ENSG00000270601	v39
PRAMEF32P	ENSG00000231219	v39
RNU6-771P	ENSG00000207511	v39
PRAMEF8	ENSG00000182330	v39
PRAMEF33	ENSG00000237700	v39
PRAMEF15	ENSG00000204501	v39
ENSG00000228229	ENSG00000228229	v39
PRAMEF14	ENSG00000204481	v39
PRAMEF19	ENSG00000204480	v39
PRAMEF17	ENSG00000204479	v39
PRAMEF20	ENSG00000204478	v39
LRRC38	ENSG00000162494	v39
ENSG00000259961	ENSG00000259961	v39
BRWD1P1	ENSG00000215909	v39
PDPN	ENSG00000162493	v39
RNA5SP41	ENSG00000222952	v39
ENSG00000237445	ENSG00000237445	v39
ENSG00000253085	ENSG00000253085	v39
PRDM2	ENSG00000116731	v39
ENSG00000289380	ENSG00000289380	v39
KAZN	ENSG00000189337	v39
RNU6-1265P	ENSG00000252151	v39
ENSG00000231606	ENSG00000231606	v39
KAZN-AS1	ENSG00000234593	v39
TBCAP2	ENSG00000235829	v39
ENSG00000287756	ENSG00000287756	v39
TMEM51-AS1	ENSG00000175147	v39
TMEM51	ENSG00000171729	v39
