gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
INTS6L-AS1	0.996165714174814	3.39953823717459e-05	2.29298854097426e-05
INTS6P1	0.827181228356634	0.00140252752502911	0.000946004815632138
INTS7	0.992070724116374	7.01579896451407e-05	4.73215640156474e-05
INTS8	0.990303032400858	8.572233721887e-05	5.78197164541278e-05
INTS9	0.99159010632419	7.43925284423521e-05	5.01777604343665e-05
INTS9-AS1	0.998660995500185	1.18866651315983e-05	8.01755563126305e-06
INTU	0.999110454953815	7.89848122767023e-06	5.32752558806357e-06
INVS	0.997468195716943	2.24620224871509e-05	1.51506341675833e-05
IP6K1	0.998898244027399	9.78171385773911e-06	6.59776599704503e-06
IP6K2	0.999530306588501	4.17139497577496e-06	2.81360591116021e-06
IP6K3	0.999908791834026	8.10182329871543e-07	5.46467981498356e-07
IPCEF1	0.998365455008199	1.4508103571321e-05	9.78571585885604e-06
IPMK	0.999805012969606	1.73193756593615e-06	1.16819188822393e-06
IPMKP1	0.95982554550418	0.000349708555304043	0.000235878420552577
IPO11	0.997361764954815	2.34050229562382e-05	1.57866879839827e-05
IPO13	0.995313161563316	4.15365005630577e-05	2.80163696297824e-05
IPO4	0.998106324918138	1.68059440527232e-05	1.13356092635618e-05
IPO5	0.998490723753445	1.33970669652489e-05	9.0363216680604e-06
IPO5P1	0.99963506611955	3.24118472540843e-06	2.18617909728798e-06
IPO7	0.997790301141832	1.96074829503351e-05	1.32252472500011e-05
IPO7P1	0.265310231052625	0.0041289523039676	0.00278497832902615
IPO7P2	0.396295047739235	0.00374404267757142	0.00252535678602192
IPO8	0.999252013923881	6.64201588681203e-06	4.48003971565472e-06
IPO8P1	0.234204586299431	0.00419796459380466	0.00283152711852124
IPO9	0.998065310116902	1.71695888226164e-05	1.15808876608548e-05
IPO9-AS1	0.996742259213733	2.88919855529543e-05	1.94876442554677e-05
IPP	0.999230136496879	6.83620969188578e-06	4.61102343717696e-06
IPPK	0.998771507821375	1.09062236717265e-05	7.35624786657954e-06
IPPKP1	0.999306936273966	6.15448186309085e-06	4.15119801665478e-06
IQANK1	0.999772661872487	2.01925775733264e-06	1.36198935732086e-06
IQCA1	0.999420459317122	5.14667701299436e-06	3.4714336452647e-06
IQCA1-AS1	0.999971395899892	2.54091962769206e-07	1.7138502888783e-07
IQCA1L	0.986834334374668	0.00011618319939991	7.83655679952394e-05
IQCB1	0.998089464900838	1.69554298753015e-05	1.14364374508909e-05
IQCB2P	0.96228837405353	0.000328682773290622	0.000221696530584525
IQCC	0.99972076632269	2.4801389146835e-06	1.67285369795402e-06
IQCD	0.999881292569859	1.05443782222535e-06	7.11218311091001e-07
IQCE	0.996559177846641	3.05128846523296e-05	2.05809406979963e-05
IQCF1	0.994387194431919	4.97196805420106e-05	3.35359245255861e-05
IQCF2	0.999704905178991	2.62099597423262e-06	1.76786178461991e-06
IQCF3	0.995359489937884	4.11268762107964e-05	2.77400780041822e-05
IQCF4	0.995200252344437	4.25347368799311e-05	2.86896800255135e-05
IQCF5	0.999130968004174	7.71642017136976e-06	5.2047254055889e-06
IQCF5-AS1	0.999542121970391	4.06648539611111e-06	2.74284439967694e-06
IQCF6	0.969471530850673	0.000267050618958162	0.000180125642487281
IQCG	0.999891662529441	9.62329979917521e-07	6.49091571454368e-07
IQCH	0.99506462822836	4.3733647079135e-05	2.94983449548766e-05
IQCH-AS1	0.996344630993573	3.24119824946211e-05	2.18618821926219e-05
IQCJ	0.990492738608904	8.40533227650886e-05	5.66939662050522e-05
IQCJ-SCHIP1	0.9962509660829	3.32409451078404e-05	2.24210174752384e-05
IQCJ-SCHIP1-AS1	0.999976456412248	2.09139652594728e-07	1.41064695675144e-07
IQCK	0.999095758368165	8.02891666824098e-06	5.41550429272854e-06
IQCM	0.97703117917866	0.000201693114703709	0.000136042005867651
IQGAP1	0.993293688223743	5.93736688415581e-05	4.00475396336309e-05
IQGAP2	0.999312213529952	6.10763537274486e-06	4.11960005891641e-06
IQGAP3	0.999633828953763	3.25217068418438e-06	2.19358912648236e-06
IQSEC1	0.99969297390423	2.72695182146131e-06	1.83932900357566e-06
IQSEC2	0.999142902768245	7.61049292025137e-06	5.13327747470955e-06
IQSEC3	0.999084016323577	8.13312852608265e-06	5.48579519084275e-06
IQSEC3P1	0.981139256157802	0.000165963534246917	0.000111942403849545
IQUB	0.999773492532381	2.01188052382619e-06	1.35701341332076e-06
IRAK1	0.989726790603952	9.07900890826404e-05	6.1237915086241e-05
IRAK1BP1	0.999035367101446	8.56488234516516e-06	5.7770131418139e-06
IRAK2	0.999760475993579	2.12748194099187e-06	1.43498656919902e-06
IRAK3	0.999748660848608	2.23241233464371e-06	1.50576211971718e-06
IRAK4	0.998149761943656	1.64208071036577e-05	1.10758343914171e-05
IREB2	0.978939390001125	0.000185115290694429	0.000124860263573392
IRF1	0.999784101764572	1.9176575674705e-06	1.29346002925885e-06
IRF2	0.999197291135446	7.12775179423962e-06	4.80766858521462e-06
IRF2BP1	0.998962199271914	9.21419517093446e-06	6.21497464279529e-06
IRF2BP2	0.999890940018584	9.6874748198562e-07	6.53420176599301e-07
IRF2BPL	0.999787236965818	1.88981295483558e-06	1.2746788380366e-06
IRF3	0.997843653284352	1.91345804573187e-05	1.29062745184615e-05
IRF4	0.999886892453784	1.00469876672675e-06	6.77669318157191e-07
IRF5	0.999502917151539	4.41458288063449e-06	2.97763615298796e-06
IRF5P1	0.999278142785229	6.4100788819251e-06	4.32359820585848e-06
IRF6	0.999976112344705	2.12195996755146e-07	1.43126199811346e-07
IRF7	0.996221956065757	3.34976766726232e-05	2.25941829156843e-05
IRF8	0.999623609685527	3.34291665969592e-06	2.2547972869649e-06
IRF9	0.999233147749054	6.80948072610701e-06	4.59299474975918e-06
IRGC	0.99947555410719	4.65752979390343e-06	3.14150384598786e-06
IRGM	0.999266108932052	6.51690005222343e-06	4.39564908522471e-06
IRGQ	0.999861541773738	1.22986529608684e-06	8.29544142210577e-07
IRS1	0.999969113912127	2.74362685964734e-07	1.85057631683213e-07
IRS2	0.999915743861753	7.4843157907659e-07	5.0481710008716e-07
IRS3P	0.994544807807353	4.83273195105346e-05	3.25967770098556e-05
IRS4	0.999999541308299	4.07464364551402e-09	2.7483471388992e-09
IRX1	0.999946399394827	4.76131488150028e-07	3.21150688757194e-07
IRX1P1	0.999949153565754	4.51666947908757e-07	3.04649356364456e-07
IRX2	0.999969074332082	2.74714272080596e-07	1.85294776518362e-07
IRX3	0.999830411605313	1.50635783967526e-06	1.01603836286096e-06
IRX4	0.999813886867983	1.65312407975723e-06	1.11503219179625e-06
IRX5	0.999957659755896	3.76108382985835e-07	2.53685104323946e-07
IRX6	0.999949583955496	4.47843908520588e-07	3.02070716297136e-07
ISCA1	0.999602558405858	3.52984677894525e-06	2.38088165239857e-06
ISCA1P1	0.716925381373355	0.00215869460499176	0.00145603951106694
ISCA1P2	0.959305312127399	0.000354143024626555	0.000238869470110612
ISCA1P3	0.999773365456963	2.01300910288387e-06	1.35777463989517e-06
ISCA1P6	0.624894495468626	0.00270718203362586	0.00182599428168064
ISCA2	0.998886048963334	9.88992488873255e-06	6.6707543374501e-06
ISCA2P1	0.9957033838659	3.80856527188971e-05	2.56887727588961e-05
ISCU	0.998105219394913	1.68157460208894e-05	1.13422206910899e-05
ISCUP1	0.99999547613023	4.01862944400635e-08	2.71056555998228e-08
ISG15	0.999948335963957	4.58929486055512e-07	3.09547938344443e-07
ISG20	0.999638159061306	3.21371952666577e-06	2.16765382073606e-06
ISG20L2	0.998655707884762	1.19335729946952e-05	8.04919498492193e-06
