Gene	cancer_group	count
SF1	Acute Myeloid Leukemia	4
SOCS2	Acute Lymphoblastic Leukemia	4
SRRM2	Acute Myeloid Leukemia	4
STK11	Acute Myeloid Leukemia	4
TCF7	Acute Lymphoblastic Leukemia	4
TIMP2	Acute Lymphoblastic Leukemia	4
TPM4	Acute Lymphoblastic Leukemia	4
TRBC2	Acute Lymphoblastic Leukemia	4
USP15	Acute Myeloid Leukemia	4
ZFP36	Acute Myeloid Leukemia	4
ZNF131	Acute Myeloid Leukemia	4
ZNF511	Acute Myeloid Leukemia	4
ZNF598	Acute Lymphoblastic Leukemia	4
