Gene	broad_histology	count
RABGAP1L	Hematologic malignancy	5
RAC2	Hematologic malignancy	4
RAF1	Low-grade astrocytic tumor	8
RALGDS	Hematologic malignancy	19
RANBP2	Hematologic malignancy	4
RASA3	Hematologic malignancy	18
RASGRP2	Hematologic malignancy	4
RASSF1	Hematologic malignancy	4
RBBP6	Hematologic malignancy	5
RBM38	Hematologic malignancy	78
RBM6	Hematologic malignancy	4
RELA	Ependymal tumor	29
RER1	Hematologic malignancy	7
REV3L	Diffuse astrocytic and oligodendroglial tumor	5
REV3L	Low-grade astrocytic tumor	5
REXO1	Hematologic malignancy	10
RFX3	Low-grade astrocytic tumor	4
RGP1	Hematologic malignancy	7
RHOA	Hematologic malignancy	4
RNF111	Hematologic malignancy	4
RNF126	Hematologic malignancy	53
ROCK1	Hematologic malignancy	6
ROS1	Diffuse astrocytic and oligodendroglial tumor	4
RPS15	Hematologic malignancy	7
RPS6KA2	Low-grade astrocytic tumor	4
RSRP1	Hematologic malignancy	4
RUNX1	Hematologic malignancy	56
RUNX1T1	Hematologic malignancy	24
RXRA	Hematologic malignancy	4
SBF1	Hematologic malignancy	21
SBNO2	Hematologic malignancy	13
SCAF1	Hematologic malignancy	40
SCFD2	Diffuse astrocytic and oligodendroglial tumor	8
SDCCAG8	Neuronal and mixed neuronal-glial tumor	4
SDF4	Hematologic malignancy	5
SEMA4D	Hematologic malignancy	4
SEPTIN9	Hematologic malignancy	24
SET	Hematologic malignancy	13
SETD2	Hematologic malignancy	5
SF1	Hematologic malignancy	4
SF3B1	Hematologic malignancy	4
SFPQ	Hematologic malignancy	5
SH2B3	Hematologic malignancy	4
SH2D3C	Hematologic malignancy	5
SH3TC1	Hematologic malignancy	6
SHANK3	Hematologic malignancy	9
SIX1	Renal tumor	5
SIX4	Renal tumor	5
SKI	Hematologic malignancy	21
SLC12A7	Hematologic malignancy	18
SLC16A3	Hematologic malignancy	5
SLC19A1	Hematologic malignancy	18
SLC24A2	Low-grade astrocytic tumor	4
SLC43A2	Hematologic malignancy	5
SLC45A3	Diffuse astrocytic and oligodendroglial tumor	11
SLC45A3	Embryonal tumor	10
SLC45A3	Hematologic malignancy	37
SLC45A3	Low-grade astrocytic tumor	16
SLC66A2	Hematologic malignancy	45
SLC7A5	Hematologic malignancy	161
SMAP1	Embryonal tumor	4
SMAP1	Low-grade astrocytic tumor	4
SMARCA4	Hematologic malignancy	5
SMARCC1	Hematologic malignancy	4
SMCHD1	Hematologic malignancy	8
SMO	Hematologic malignancy	6
SND1	Hematologic malignancy	4
SON	Hematologic malignancy	6
SOX5	Low-grade astrocytic tumor	4
SP3	Hematologic malignancy	5
SPPL2B	Hematologic malignancy	6
SQSTM1	Hematologic malignancy	4
SRSF1	Hematologic malignancy	5
SRSF4	Hematologic malignancy	4
SS18L1	Hematologic malignancy	11
SSBP2	Hematologic malignancy	11
ST7	Diffuse astrocytic and oligodendroglial tumor	8
STAG2	Hematologic malignancy	5
STIP1	Hematologic malignancy	5
STK10	Hematologic malignancy	7
STK11	Hematologic malignancy	4
STK24	Hematologic malignancy	4
SUMO3	Hematologic malignancy	27
SYNCRIP	Hematologic malignancy	28
SYNE1	Hematologic malignancy	4
TACC1	Neuronal and mixed neuronal-glial tumor	5
TAF4	Hematologic malignancy	23
TAFA5	Hematologic malignancy	6
TAX1BP1	Hematologic malignancy	4
TBC1D22A	Hematologic malignancy	6
TBCD	Hematologic malignancy	12
TCF25	Hematologic malignancy	15
TCF3	Hematologic malignancy	56
TCF4	Hematologic malignancy	5
TCF7	Hematologic malignancy	7
TFRC	Hematologic malignancy	4
TGIF1	Hematologic malignancy	13
TIMP2	Hematologic malignancy	30
TLE3	Hematologic malignancy	4
TMEM131L	Hematologic malignancy	4
TMEM18	Hematologic malignancy	8
TMEM259	Hematologic malignancy	8
TOP2B	Hematologic malignancy	4
TPD52L2	Hematologic malignancy	5
TPM4	Hematologic malignancy	42
TRABD	Hematologic malignancy	4
TSC2	Hematologic malignancy	4
TSPAN33	Hematologic malignancy	6
TTYH3	Hematologic malignancy	85
UBB	Hematologic malignancy	7
UBC	Hematologic malignancy	12
UBE2I	Hematologic malignancy	4
UBR5	Hematologic malignancy	4
UHRF2	Hematologic malignancy	7
ULK1	Hematologic malignancy	15
UNC5C	Embryonal tumor	4
USP12	Hematologic malignancy	11
USP15	Hematologic malignancy	7
USP22	Hematologic malignancy	13
USP34	Hematologic malignancy	5
USP7	Hematologic malignancy	8
UTRN	Hematologic malignancy	7
VAV2	Hematologic malignancy	5
VAV3	Hematologic malignancy	5
VHL	Diffuse astrocytic and oligodendroglial tumor	4
WAC	Hematologic malignancy	5
WDR1	Hematologic malignancy	4
WDR6	Hematologic malignancy	8
WNK1	Hematologic malignancy	5
YAP1	Ependymal tumor	4
YAP1	Meningioma	4
YWHAE	Hematologic malignancy	26
ZBTB18	Hematologic malignancy	6
ZBTB7A	Hematologic malignancy	11
ZC3H3	Hematologic malignancy	7
ZCCHC7	Hematologic malignancy	12
ZEB1	Hematologic malignancy	4
ZEB2	Hematologic malignancy	12
ZFPM1	Hematologic malignancy	31
ZFPM2	Low-grade astrocytic tumor	4
ZFTA	Ependymal tumor	33
ZMIZ1	Hematologic malignancy	11
ZMYM2	Hematologic malignancy	11
ZNF292	Hematologic malignancy	36
ZNF384	Hematologic malignancy	26
ZNF407	Hematologic malignancy	4
ZNF451	Embryonal tumor	5
ZNF511	Hematologic malignancy	45
ZNF827	Hematologic malignancy	5
